Artist,Title,ISRC,UPC,EAN,ISWC,Catalog Number,ASCAP Work ID,MLC Song Code,SoundExchange ID,Amazon ASIN,Release Artist,Release,Release Label,Release Date,Year,Duration,(P)Line,(C)Line,Writer/Composer 1,Writer/Composer 1 IPI,Writer/Composer 2,Writer/Composer 2 IPI,Writer/Composer 3,Writer/Composer 3 IPI,Publisher,Publisher IPI,MusicBrainz,Discogs,Rap Genius
Dezolent,Outside,QZFYY2145897,`195919678263,,T3294665111,DEZ-21-0002-W,927979070,OM1VD2,SX212V9V26,,Dezolent,Outside,"Dezolent, LLC",44237,2021,0.139583333,"℗ 2021 Dezolent, LLC","© 2021 Dezolent, LLC",Joseph Christian Hill,1269960012,,,,,Dezolent,1269696098,https://musicbrainz.org/release/6721d30e-7dce-48cd-8c08-9c7dc4379a4f,,
Dezolent & Morbeato,Break,QZHN42132819,`196164573426,,T3294665348,DEZ-21-0003-W,927979051,BE8T4E,SX212U6I1Z,,Dezolent & Morbeato,Break,"Dezolent, LLC",5/19/21,2021,4:05,"℗ 2021 Dezolent, LLC","© 2021 Dezolent, LLC",Joseph Christian Hill,1269960012,,,,,Dezolent,1269696098,,,
Dezolent & Lotis & Dante Levo,Before The Storm,QZS642175993,`5059962460754,,,DEZ-22-0001-W,928066841,BD7AZI,SX213OZQCN,,Dezolent & Lotis & Dante Levo,Before The Storm,Future Bass Records,44564,2021,0.165277778,℗ 2022 Future Bass Records,© 2022 Future Bass Records,Joseph Christian Hill,1269960012,,,,,Dezolent,1269696098,,,
Dezolent & Bad Color,Find You,QZHN62254336,`196832113916,,T3294665020,DEZ-22-0002-W,927979104,FA71CR,SX212QHMEG,,Dezolent & Bad Color,Find You,"Dezolent, LLC",44706,2022,0.118055556,"℗ 2022 Dezolent, LLC","© 2022 Dezolent, LLC",Joseph Christian Hill,1269960012,,,,,Dezolent,1269696098,,,
Dezolent,Spaced Out,QZWFQ2390492,`19771773303,,T3294831662,DEZ-24-0001-W,927925006,S664CI,SX215OG5EO,B0CQYBBMB5,Dezolent,Spaced Out,"Dezolent, LLC",2/12/24,2024,2:57,"℗ 2023 Dezolent, LLC","© 2023 Dezolent, LLC",Joseph Christian Hill,1269960012,,,,,Dezolent,1269696098,https://musicbrainz.org/release/51956829-eeb0-4097-999b-771b96f77d14,,
Dezolent,Escape,QZMHL2429589,`674053159192,,T3294662554,DEZ-24-0002-W,927980203,ES1KKX,SX215RW2BF,,Dezolent,Desolation,"Dezolent, LLC",45630,2024,0.150694444,℗ 2024 Dezolent,© 2024 Dezolent,Joseph Christian Hill,1269960012,,,,,Dezolent,1269696098,https://musicbrainz.org/release/e9f206b6-3d63-4519-b794-7d9d27078fa1,,
Dezolent,Open Your Eyes,QZS652430116,`674053159192,,T3294651977,DEZ-24-0002-W,927980219,OM1NV1,SX215RW2BE,,Dezolent,Desolation,"Dezolent, LLC",45630,2024,0.195138889,℗ 2024 Dezolent,© 2024 Dezolent,Joseph Christian Hill,1269960012,,,,,Dezolent,1269696098,https://musicbrainz.org/release/e9f206b6-3d63-4519-b794-7d9d27078fa1,,
Dezolent,Try Hard,QZMHP2437857,`674053159192,,T3294651853,DEZ-24-0002-W,927980205,TX3O8H,SX215RW2BD,,Dezolent,Desolation,"Dezolent, LLC",45630,2024,0.155555556,℗ 2024 Dezolent,© 2024 Dezolent,Joseph Christian Hill,1269960012,,,,,Dezolent,1269696098,https://musicbrainz.org/release/e9f206b6-3d63-4519-b794-7d9d27078fa1,,
Dezolent,Gone,GBKQU1591272,`674053159192,,T3294665304,DEZ-24-0002-W,927979043,GB0SLK,SX215RW2BC,,Dezolent,Desolation,"Dezolent, LLC",45630,2024,0.179166667,℗ 2024 Dezolent,© 2024 Dezolent,Joseph Christian Hill,1269960012,,,,,Dezolent,1269696098,https://musicbrainz.org/release/e9f206b6-3d63-4519-b794-7d9d27078fa1,,
Dezolent,Let Me Handle It,QZS642419972,`674053159192,,T3294662292,DEZ-24-0002-W,927980214,LS5Z12,SX215RW2BB,,Dezolent,Desolation,"Dezolent, LLC",45630,2024,0.132638889,℗ 2024 Dezolent,© 2024 Dezolent,Joseph Christian Hill,1269960012,,,,,Dezolent,1269696098,https://musicbrainz.org/release/e9f206b6-3d63-4519-b794-7d9d27078fa1,,
Dezolent,Save Me,QZS672447481,`674053159192,,T3294651820,DEZ-24-0002-W,927980207,S653DF,SX215RW2BA,,Dezolent,Desolation,"Dezolent, LLC",45630,2024,0.157638889,℗ 2024 Dezolent,© 2024 Dezolent,Joseph Christian Hill,1269960012,,,,,Dezolent,1269696098,https://musicbrainz.org/release/e9f206b6-3d63-4519-b794-7d9d27078fa1,,
Dezolent,Never Say Too Much,QT3EZ2444194,`199093371743,,T3302952309,DEZ-25-0004-W,932260337,N745VQ,SX216B7B0X,B0DR9S5QD6,Dezolent,Never Say Too Much,"Dezolent, LLC",45686,2025,0.136111111,"℗ 2024 Dezolent, LLC","© 2024 Dezolent, LLC",Joseph Christian Hill,1269960012,,,,,Dezolent,1269696098,https://musicbrainz.org/release/988ded91-584c-4e66-93b0-120d176e06d5,,
Dezolent & Tomentam,Falling Apart (feat. fendi mars),QZHN32522304,`199081492450,,,DEZ-25-0003-W,929244852,FB0SPU,SX216B76VS,B0DXDMX2QY,Dezolent & Tomentam,Falling Apart,"Dezolent, LLC",3/21/25,2025,3:06,"℗ 2025 Dezolent, LLC","© 2025 Dezolent, LLC",Joseph Christian Hill,1269960012,,,,,Dezolent,1269696098,,,
Dezolent & Tomentam,Sunchaser (feat. Fran Pitcher),QZK6H2564185,`199339216609,,T3319901123,DEZ-25-0005-W,929822981,S64R2D,,B0F3G3WNTR,Dezolent & Tomentam,Sunchaser,"Dezolent, LLC",4/24/25,2025,3:06,"℗ 2025 Dezolent, LLC","© 2025 Dezolent, LLC",Joseph Christian Hill,1269960012,,,,,Dezolent,1269696098,,,
Dezolent,Sonder,QZS652532682,`199348130811,,T3335620010,DEZ-25-0006-W,930970164,S67A4A,SX2164VU97,B0FD7F1CLC,Dezolent,Sonder,"Dezolent, LLC",45848,2025,0.085416667,℗ 2025 Dezolent,© 2025 Dezolent,Joseph Christian Hill,1269960012,,,,,Dezolent,1269696098,https://musicbrainz.org/release/055e24a0-5b31-4a25-9447-f6c9658a59a7,,
Dezolent,Sonder Sped Up,QZHPJ2514940,`199348130811,,T3335620009,DEZ-25-0006-W,930970184,S67IJ1,SX2164VU96,B0FD7F1CLC,Dezolent,Sonder,"Dezolent, LLC",45848,2025,0.084027778,℗ 2025 Dezolent,© 2025 Dezolent,Joseph Christian Hill,1269960012,,,,,Dezolent,1269696098,https://musicbrainz.org/release/055e24a0-5b31-4a25-9447-f6c9658a59a7,,
Dezolent & Coptr,Lost Love (feat. Lillie Price Carter),QT3F22541854,`199740603098,5.06E+12,T3357388257,DEZ-25-0002-W,932507673,LS9CND,SX216B1UOE,B0FSC81QLH,Dezolent & Coptr,Lost Love,"Dezolent, LLC",10/15/25,2025,3:47,"℗ 2025 Dezolent, LLC","© 2025 Dezolent, LLC",Joseph Christian Hill,1269960012,Paul Gerlach,1303786360,Lillie Price Carter,1316405091,Dezolent,1269696098,,https://www.discogs.com/release/35322802-Dezolent-Coptr-Feat-Lillie-Price-Carter-Lost-Love,https://genius.com/Dezolent-and-coptr-lost-love-lyrics
Dezolent,Gone - Coptr Remix,QT6K52600001,`821317019796,,T3387417296,DEZ-26-0001-W,934750083,GJ8UWQ,,B0GP8WKDDR,Dezolent,Gone (Coptr Remix),"Dezolent, LLC",3/25/26,2026,2:51,"℗ 2026 Dezolent, LLC","© 2026 Dezolent, LLC",Joseph Christian Hill,1269960012,Paul Gerlach,1303786360,,,Dezolent,1269696098,https://musicbrainz.org/release/bfa5f6a7-6ea4-40a7-a7ba-5793e0965f59,,
